method,policy,checkpoint,repeat,average_query_shots,low_shots,high_shots,offline_quantum_shots,weight_low,weight_high,mae_F_e,rmse_F_e,bias_F_e,pearson
fixed_hybrid,fixed,bidir_seed0,0,32,32,32,6144,0.5512337897413844,0.5512337897413844,0.06480451769096811,0.08181454321335038,0.0098616796486646,0.9125763705030681
fixed_dfe,fixed,bidir_seed0,0,32,32,32,0,,,0.09166782326065004,0.11419092644590123,-0.0017735688828877986,0.8669485246957198
adaptive_hybrid,random,bidir_seed0,0,32,16,48,6144,0.5369909197893057,0.769131669389717,0.0713045534408334,0.09003930772967651,0.008976859612120115,0.897070813164804
adaptive_dfe,random,bidir_seed0,0,32,16,48,0,,,0.10207962178657196,0.13168503936115206,0.0010837806541492368,0.8335971840422199
adaptive_hybrid,width,bidir_seed0,0,32,16,48,6144,0.43035821278368186,0.7018076982431855,0.0660425649880913,0.08411379520435013,0.011357899238046297,0.9080902365473654
adaptive_dfe,width,bidir_seed0,0,32,16,48,0,,,0.10158949540854091,0.1323523701141507,0.00010205115679473749,0.8307223465522
adaptive_hybrid,disagreement,bidir_seed0,0,32,16,48,6144,0.36534580780651377,0.5742432834300011,0.06367007693535756,0.08179787574087993,0.011925853714171717,0.9127325245942627
adaptive_dfe,disagreement,bidir_seed0,0,32,16,48,0,,,0.09249952049043877,0.11622682526726827,0.0007117568446254264,0.8584563082583623
adaptive_hybrid,combined,bidir_seed0,0,32,16,48,6144,0.12316580499374181,0.8189653999803744,0.061968036061091455,0.08192039270952918,0.006505874913368539,0.9117539298435272
adaptive_dfe,combined,bidir_seed0,0,32,16,48,0,,,0.09648943847789376,0.122160673742479,0.0035329374001809816,0.8478002595505678
fixed_hybrid,fixed,bidir_seed0,0,64,64,64,8192,0.6631899477263736,0.6631899477263736,0.052275184885359344,0.06580506530759349,0.0063730048160484795,0.9437601579560001
fixed_dfe,fixed,bidir_seed0,0,64,64,64,0,,,0.06399423742689014,0.08098108020668793,-0.002657125430506846,0.9261144817277818
fixed_dfe,fixed,bidir_seed0,0,128,128,128,0,,,0.04506591037063608,0.05660168713479575,-0.0005916182380465288,0.9609719596943129
adaptive_hybrid,random,bidir_seed0,0,64,32,96,8192,0.5231937240743623,0.8229731307414835,0.05543381353793116,0.07110024060512903,0.0070847923229758625,0.9343745467539526
adaptive_dfe,random,bidir_seed0,0,64,32,96,0,,,0.071336701508641,0.09256863943469135,-0.0016185589622528778,0.906123414108589
adaptive_hybrid,width,bidir_seed0,0,64,32,96,8192,0.5839483858679886,0.7288989953261023,0.05541360642038572,0.07018801695168105,0.007969607482648106,0.9360947862589163
adaptive_dfe,width,bidir_seed0,0,64,32,96,0,,,0.07179153081221831,0.09304013972838908,-0.0011586961977026141,0.9045609727437409
adaptive_hybrid,disagreement,bidir_seed0,0,64,32,96,8192,0.3057112470526286,0.9672747151388273,0.055728169065377385,0.07278523753431312,0.0050681249929723764,0.9314709979729957
adaptive_dfe,disagreement,bidir_seed0,0,64,32,96,0,,,0.06900763736604146,0.08889375617861092,0.0006910888552074392,0.9102464504205202
adaptive_hybrid,combined,bidir_seed0,0,64,32,96,8192,0.5233634890252117,0.9242722491807703,0.05326722401571701,0.06780702430537272,0.004591544160974995,0.9406288264916821
adaptive_dfe,combined,bidir_seed0,0,64,32,96,0,,,0.06751488033797907,0.0862175359969996,0.0013782995033555874,0.9146150243964524
fixed_hybrid,fixed,bidir_seed0,1,32,32,32,6144,0.3529484679261741,0.3529484679261741,0.06599051093031182,0.08508675542576263,0.0070880980718266194,0.9044337534154424
fixed_dfe,fixed,bidir_seed0,1,32,32,32,0,,,0.09319421779623048,0.11655621283142646,0.0004275719901280744,0.8608506411085745
adaptive_hybrid,random,bidir_seed0,1,32,16,48,6144,0.1968130287942577,0.7089989572015217,0.06624688641815407,0.0863975505988239,0.005975305632786701,0.9005653183301171
adaptive_dfe,random,bidir_seed0,1,32,16,48,0,,,0.10251076557801633,0.13134373833731894,0.0013834665007100835,0.8378128135264533
adaptive_hybrid,width,bidir_seed0,1,32,16,48,6144,0.1357254075728936,0.7041051900089055,0.06275829419533573,0.08414675752530194,0.005389717819590583,0.9060316260518188
adaptive_dfe,width,bidir_seed0,1,32,16,48,0,,,0.09972322167749838,0.12924434858008899,-0.0026467914357978556,0.8409906640800738
adaptive_hybrid,disagreement,bidir_seed0,1,32,16,48,6144,0.2455915090797252,0.5238390892091784,0.06318662253896899,0.0814948271338937,0.005690485630893833,0.9123713154197459
adaptive_dfe,disagreement,bidir_seed0,1,32,16,48,0,,,0.09009495131959695,0.11446062972346897,0.0013421305218741042,0.8598583634252294
adaptive_hybrid,combined,bidir_seed0,1,32,16,48,6144,0.0,0.5357653256803617,0.06464370392576206,0.0828744662550424,0.0032096050119582407,0.9106523740319193
adaptive_dfe,combined,bidir_seed0,1,32,16,48,0,,,0.09513843653565915,0.12000013758691373,0.0033675934848370658,0.8559940586481593
fixed_hybrid,fixed,bidir_seed0,1,64,64,64,8192,0.6833155727786415,0.6833155727786415,0.05253796131177376,0.06550447810382394,0.003978694545494329,0.9440100405475546
fixed_dfe,fixed,bidir_seed0,1,64,64,64,0,,,0.06480250915970713,0.08116039685574358,0.0008538492718741061,0.9265930796801244
fixed_dfe,fixed,bidir_seed0,1,128,128,128,0,,,0.04533880733559647,0.05720371770127644,-0.0003164756289195447,0.9606919619573551
adaptive_hybrid,random,bidir_seed0,1,64,32,96,8192,0.380539241081947,0.5628276981982363,0.05712520044193749,0.07419772083362323,0.005257625656693752,0.9283615797290726
