method,policy,average_query_shots,low_shots,high_shots,mae_mean,mae_std,rmse_mean,weight_low_mean,weight_high_mean,offline_shots,runs
adaptive_dfe,combined,32,16,48,0.09560246547489433,0.0014472315647482295,0.12138536959487987,,,0,25
adaptive_dfe,combined,64,32,96,0.0695483388965358,0.0011296849145345513,0.08935161600645987,,,0,25
adaptive_dfe,disagreement,32,16,48,0.09164493170702366,0.0014452154129638445,0.11596233886073198,,,0,25
adaptive_dfe,disagreement,64,32,96,0.06854643217610717,0.0007404496622325449,0.08814624238797876,,,0,25
adaptive_dfe,random,32,16,48,0.10136353577474852,0.0012314451752704267,0.1310733736112173,,,0,25
adaptive_dfe,random,64,32,96,0.07135206236986927,0.0007598308837749853,0.09256454748687018,,,0,25
adaptive_dfe,width,32,16,48,0.10118598468485905,0.0014054441052377927,0.13087985223212892,,,0,25
adaptive_dfe,width,64,32,96,0.07174134548581032,0.0006600975072734139,0.09314739842745694,,,0,25
adaptive_hybrid,combined,32,16,48,0.06482954869609332,0.003928440422725369,0.08317011671233128,0.1327590466766078,0.6483514563454552,6144,25
adaptive_hybrid,combined,64,32,96,0.05427585300781426,0.0032331863802744646,0.0697706914159713,0.3375491275861745,0.7873203790237091,8192,25
adaptive_hybrid,disagreement,32,16,48,0.06666884225417595,0.0028850286344290627,0.08548669895605776,0.22965322775343083,0.568436915859521,6144,25
adaptive_hybrid,disagreement,64,32,96,0.05599906174736136,0.002069142248108263,0.0719792169002759,0.40018072288043094,0.7695560537054569,8192,25
adaptive_hybrid,random,32,16,48,0.06973521993175004,0.004642859913984431,0.09000326009215921,0.29007896686241635,0.5757978009835438,6144,25
adaptive_hybrid,random,64,32,96,0.05718255838566779,0.0023084954352819934,0.07337176435342455,0.451321521858918,0.69990653455952,8192,25
adaptive_hybrid,width,32,16,48,0.06751914977180741,0.004517425449761505,0.08846034047288753,0.22927797456672594,0.579569883402344,6144,25
adaptive_hybrid,width,64,32,96,0.05508583995055391,0.001889960765411699,0.07210625641085307,0.40169097947611027,0.7226378213742448,8192,25
fixed_dfe,fixed,32,32,32,0.09114930667722272,0.0013104574304866653,0.11414712448263375,,,0,5
fixed_dfe,fixed,64,64,64,0.06436347042890414,0.00042875470833100555,0.08104963298059714,,,0,5
fixed_dfe,fixed,128,128,128,0.04485050328297629,0.0005276045855489842,0.0565047704241101,,,0,5
fixed_hybrid,fixed,32,32,32,0.0659935130691036,0.0013144406196204743,0.08398084892528056,0.43148889822647535,0.43148889822647535,6144,25
fixed_hybrid,fixed,64,64,64,0.053143879939563314,0.0006455609672044848,0.06676197545602057,0.6621471064594603,0.6621471064594603,8192,25
