model,ece_mean,ece_std
deepsets,0.0248888888888888,0.0124144689107743
mlp,0.0494644444444444,0.0301922016361200
generic_gnn,0.0519911111111110,0.0193005656305254
gnn,0.0663999999999999,0.0322113141447904
fidelityno_large,0.1037555555555560,0.0303011791105656
fidelityno,0.1157577777777780,0.0375420034373802
bidir,0.1352866666666670,0.0424323447436251
mc_100,0.2225555555555560,0.0000000000000000
mc_1000,0.2234444444444440,0.0000000000000000
mc_10,0.2254444444444440,0.0000000000000000
product_bound,0.4735000000000000,0.0000000000000000
fvg_bound,0.4918000000000000,0.0000000000000000
