model,n_calib,n_test,split_seed,ridge,mae_F_e,rmse_F_e,bias_F_e,pearson
product_raw,8,7992,20260806,,0.43440317357978875,0.46412559666018005,0.43440317357978875,0.7288768706372495
exact_observed_marginals,8,7992,20260806,,0.44245401987593214,0.4726344267915746,0.44245401987593214,0.7443154525705041
constant_cal_median,8,7992,20260806,,0.18669389193417044,0.2094439376457499,0.0685478831008375,
product_affine,8,7992,20260806,,0.12192182585080724,0.16994510662930523,-0.03609620931100712,0.7582528658655553
exact_marginals_affine,8,7992,20260806,,0.11995701142688392,0.1663612199313542,-0.033073827940057914,0.7646963801246046
summary_ridge,8,7992,20260806,1.0,0.14367033817209596,0.18640252420138675,-0.0337004873402602,0.7462303809617692
oracle_eta_ridge,8,7992,20260806,1.0,0.11782152951931907,0.16245452120670548,-0.04661423409706949,0.7992237963177096
fidelityno_seed0_raw,8,7992,20260806,,0.3866398969545841,0.4178186448997553,0.3866398969545841,0.7944074660957773
fidelityno_seed0_affine,8,7992,20260806,,0.09407339381169438,0.13016242404676137,0.03401051270012201,0.7950887193116737
fidelityno_seed1_raw,8,7992,20260806,,0.3857158643293294,0.4168121364844996,0.3857158643293294,0.7982792160666234
fidelityno_seed1_affine,8,7992,20260806,,0.09296347838331182,0.12834269142279237,0.031153636229472526,0.7987666946910943
fidelityno_seed2_raw,8,7992,20260806,,0.387102147524205,0.41810452508949836,0.387102147524205,0.8031210189023684
fidelityno_seed2_affine,8,7992,20260806,,0.09210657725880173,0.12707574545140582,0.03326088629246977,0.803498306781313
fidelityno_seed3_raw,8,7992,20260806,,0.38859624455816244,0.41976247481223633,0.38859624455816244,0.7960052203709013
fidelityno_seed3_affine,8,7992,20260806,,0.09384765976517029,0.12966812951268844,0.03433779569669858,0.7965008585245017
fidelityno_seed4_raw,8,7992,20260806,,0.3868594522969247,0.4180151853335127,0.3868594522969247,0.8067508244499371
fidelityno_seed4_affine,8,7992,20260806,,0.0915066083175959,0.12612770334947193,0.033981024207608804,0.8070980305996832
bidir_seed0_raw,8,7992,20260806,,0.38098800889271367,0.4112407243893334,0.38098800889271367,0.8223601978240814
bidir_seed0_affine,8,7992,20260806,,0.08874708146900166,0.12104627717830739,0.012908523259637756,0.8228454974206564
bidir_seed1_raw,8,7992,20260806,,0.3843893794495765,0.41480256740740873,0.3843893794495765,0.8129821719028781
bidir_seed1_affine,8,7992,20260806,,0.08957699179181416,0.12310964439924757,0.0138378068129529,0.813715627321778
bidir_seed2_raw,8,7992,20260806,,0.3803360867300057,0.4106746398940088,0.3803360867300057,0.8230058727389723
bidir_seed2_affine,8,7992,20260806,,0.08818940951633823,0.12044366148270434,0.012062363797177072,0.823310302414169
bidir_seed3_raw,8,7992,20260806,,0.3791084777819248,0.4093123247729224,0.3791084777819248,0.8219567054434568
bidir_seed3_affine,8,7992,20260806,,0.08997127363231636,0.12240638264557555,0.006363500777452919,0.8224117840630834
bidir_seed4_raw,8,7992,20260806,,0.3812879568946597,0.41171750898151677,0.3812879568946597,0.8250352355306287
bidir_seed4_affine,8,7992,20260806,,0.08707010049918328,0.11908935641368665,0.012463464742033314,0.82536912595861
product_raw,16,7984,20260806,,0.4344909955142719,0.46421547053037876,0.4344909955142719,0.7290575777590308
exact_observed_marginals,16,7984,20260806,,0.4425402872682363,0.4727234202936481,0.4425402872682363,0.744473327508443
constant_cal_median,16,7984,20260806,,0.16951365664298973,0.1982952066221533,0.011978903743354436,
product_affine,16,7984,20260806,,0.11641390096769785,0.14717765239958683,0.05158215333848486,0.7290575777590305
exact_marginals_affine,16,7984,20260806,,0.11224081404675307,0.14334816315940008,0.05045293003826256,0.7444733275084425
summary_ridge,16,7984,20260806,1.0,0.10807049144230521,0.13874844322907418,0.04300543321539015,0.7497168697383433
oracle_eta_ridge,16,7984,20260806,1.0,0.09746825028999832,0.12251314767292128,0.033541850238907024,0.8041802858916575
fidelityno_seed0_raw,16,7984,20260806,,0.38672406312156626,0.4179064154694817,0.38672406312156626,0.7944369264854457
fidelityno_seed0_affine,16,7984,20260806,,0.09634389509855196,0.13551093242243764,0.062259066507691814,0.7944397072368018
fidelityno_seed1_raw,16,7984,20260806,,0.38580058980079923,0.4169002264800883,0.38580058980079923,0.7983333009787223
fidelityno_seed1_affine,16,7984,20260806,,0.09650202139036049,0.1348289758799285,0.06205022407170767,0.7983333009787222
fidelityno_seed2_raw,16,7984,20260806,,0.38718571322680806,0.41819164881676957,0.38718571322680806,0.8031565693435417
fidelityno_seed2_affine,16,7984,20260806,,0.09474533849038072,0.1330860237441647,0.06112420778902754,0.8031565693435415
fidelityno_seed3_raw,16,7984,20260806,,0.3886808669315894,0.4198505908014892,0.3886808669315894,0.7960467341300737
fidelityno_seed3_affine,16,7984,20260806,,0.09669817487996545,0.13566076663078905,0.06309777225993018,0.7960539585066082
fidelityno_seed4_raw,16,7984,20260806,,0.38694267449639214,0.4181019880972703,0.38694267449639214,0.8067848933692527
fidelityno_seed4_affine,16,7984,20260806,,0.09392381406156804,0.13212736354022306,0.060909505337007855,0.8067848933692529
bidir_seed0_raw,16,7984,20260806,,0.38107327560619836,0.41132877961655906,0.38107327560619836,0.8224756040116235
bidir_seed0_affine,16,7984,20260806,,0.09296305601675624,0.1280823000099714,0.05693981068743332,0.822475604011624
bidir_seed1_raw,16,7984,20260806,,0.38447430734252014,0.41489040519468956,0.38447430734252014,0.8130916844828254
bidir_seed1_affine,16,7984,20260806,,0.09499708278675857,0.1302490453283038,0.05676513586988575,0.8130916844828256
bidir_seed2_raw,16,7984,20260806,,0.3804205694116413,0.4107620314936201,0.3804205694116413,0.8231150941253312
bidir_seed2_affine,16,7984,20260806,,0.09252509936424624,0.1273101281622984,0.0556040799607274,0.8231150941253315
bidir_seed3_raw,16,7984,20260806,,0.3791939562740913,0.4094005326457526,0.3791939562740913,0.8220855474501702
bidir_seed3_affine,16,7984,20260806,,0.09355466133553057,0.12794720258126108,0.05544069856129205,0.8220855474501707
bidir_seed4_raw,16,7984,20260806,,0.3813723563347273,0.41180482498221255,0.3813723563347273,0.8251459355226061
bidir_seed4_affine,16,7984,20260806,,0.09208179164104506,0.12686409842118523,0.05554936786879035,0.8251459355226066
product_raw,32,7968,20260806,,0.43456103089714354,0.4642763956214507,0.43456103089714354,0.7287662425306476
exact_observed_marginals,32,7968,20260806,,0.4426134580527325,0.47278626236807886,0.4426134580527325,0.7441900204452114
constant_cal_median,32,7968,20260806,,0.16949263246763632,0.19826851492171005,0.012074426417781347,
product_affine,32,7968,20260806,,0.1082844290488403,0.13885466355328638,0.030056812967889875,0.7287662425306476
exact_marginals_affine,32,7968,20260806,,0.10463780530220207,0.13543303334860177,0.029073890709591023,0.7441900204452115
summary_ridge,32,7968,20260806,1.0,0.0992648212926667,0.13006138635318804,0.026827998807434184,0.7683977860566513
oracle_eta_ridge,32,7968,20260806,1.0,0.0941909094694776,0.11765172203529571,0.019816966924254185,0.8177597017095407
fidelityno_seed0_raw,32,7968,20260806,,0.3868231963035258,0.41799990064345277,0.3868231963035258,0.7941984376696054
fidelityno_seed0_affine,32,7968,20260806,,0.095129926662824,0.1334021275769996,0.05753815652010284,0.7942148390425448
fidelityno_seed1_raw,32,7968,20260806,,0.3858995386782704,0.41699314187743686,0.3858995386782704,0.798083836631169
fidelityno_seed1_affine,32,7968,20260806,,0.09440126518413357,0.13236027868666475,0.057232907921712324,0.7981042375167695
fidelityno_seed2_raw,32,7968,20260806,,0.3872843635292821,0.4182842260081486,0.3872843635292821,0.8029194113022209
fidelityno_seed2_affine,32,7968,20260806,,0.09325260633230396,0.13094994346607844,0.05662296669014437,0.8029197283585883
fidelityno_seed3_raw,32,7968,20260806,,0.3887797715656654,0.4199437523682402,0.3887797715656654,0.7957887695421493
fidelityno_seed3_affine,32,7968,20260806,,0.09483850748410826,0.13312032075030505,0.05781320388439247,0.7958287164400096
fidelityno_seed4_raw,32,7968,20260806,,0.3870410247169151,0.41819388997446383,0.3870410247169151,0.8065591214547665
fidelityno_seed4_affine,32,7968,20260806,,0.09248897753043615,0.12997883721806625,0.05634570812915756,0.8065668059066164
bidir_seed0_raw,32,7968,20260806,,0.3811645548085656,0.4114136191454487,0.3811645548085656,0.822261767672786
bidir_seed0_affine,32,7968,20260806,,0.08857260373746362,0.12334235644694896,0.04911691595475305,0.8222617676727865
bidir_seed1_raw,32,7968,20260806,,0.3845689947180166,0.4149791528920492,0.3845689947180166,0.8128816150868874
bidir_seed1_affine,32,7968,20260806,,0.09142559039724596,0.12678429512799125,0.05138295609921854,0.8128816150868873
bidir_seed2_raw,32,7968,20260806,,0.38051102815633525,0.410845965447272,0.38051102815633525,0.822898964224455
bidir_seed2_affine,32,7968,20260806,,0.08820570711091148,0.12263161802526697,0.04781249738846418,0.8228989642244554
bidir_seed3_raw,32,7968,20260806,,0.3792824196286993,0.4094823775052153,0.3792824196286993,0.8218588572427666
bidir_seed3_affine,32,7968,20260806,,0.08818851058231084,0.12230116372194919,0.046327364797365954,0.8218588572427666
