checkpoint,calibration,repeat,n_calib,n_test_inputs,n_eta,mae_grid,mean_worst_abs,bayes_mae_lower_bound,excess_mae_over_bayes
bidir_seed0,raw,-1,0,1984,15,0.3791223396830124,0.5084047542783172,0.06001250275823709,0.3191098369247753
bidir_seed0,one_realised_eta_per_input,0,64,1984,15,0.08903889183069408,0.2002411206882561,0.06001250275823709,0.029026389072456985
bidir_seed0,one_realised_eta_per_input,1,64,1984,15,0.09057651781108657,0.19712979183804008,0.06001250275823709,0.030564015052849475
bidir_seed0,one_realised_eta_per_input,2,64,1984,15,0.08901513601016443,0.19998988137762302,0.06001250275823709,0.02900263325192734
bidir_seed0,one_realised_eta_per_input,3,64,1984,15,0.0888127921314681,0.19364757357423446,0.06001250275823709,0.02880028937323101
bidir_seed0,one_realised_eta_per_input,4,64,1984,15,0.08976549180802966,0.19524375845796282,0.06001250275823709,0.029752989049792566
bidir_seed0,one_realised_eta_per_input,5,64,1984,15,0.0911595264466254,0.19793286590235068,0.06001250275823709,0.0311470236883883
bidir_seed0,one_realised_eta_per_input,6,64,1984,15,0.08903812931676591,0.1968171505709052,0.06001250275823709,0.02902562655852882
bidir_seed0,one_realised_eta_per_input,7,64,1984,15,0.09064530518244779,0.19337772838747755,0.06001250275823709,0.030632802424210695
bidir_seed0,one_realised_eta_per_input,8,64,1984,15,0.08905814983912415,0.1957034082304687,0.06001250275823709,0.029045647080887055
bidir_seed0,one_realised_eta_per_input,9,64,1984,15,0.08950979896741813,0.19531744979835777,0.06001250275823709,0.02949729620918104
bidir_seed0,one_realised_eta_per_input,10,64,1984,15,0.08779865951209656,0.19163956923597403,0.06001250275823709,0.027786156753859467
bidir_seed0,one_realised_eta_per_input,11,64,1984,15,0.09148597082918236,0.2037280693671498,0.06001250275823709,0.03147346807094527
bidir_seed0,one_realised_eta_per_input,12,64,1984,15,0.09206809420529913,0.1979160497068565,0.06001250275823709,0.032055591447062035
bidir_seed0,one_realised_eta_per_input,13,64,1984,15,0.08790410172370006,0.19142158764266026,0.06001250275823709,0.027891598965462963
bidir_seed0,one_realised_eta_per_input,14,64,1984,15,0.08844408898411464,0.194097260734148,0.06001250275823709,0.028431586225877548
bidir_seed0,one_realised_eta_per_input,15,64,1984,15,0.09177048346020655,0.19907779983601157,0.06001250275823709,0.03175798070196946
bidir_seed0,one_realised_eta_per_input,16,64,1984,15,0.08838775441909362,0.1914199677443415,0.06001250275823709,0.028375251660856526
bidir_seed0,one_realised_eta_per_input,17,64,1984,15,0.09167609723807424,0.202982839531476,0.06001250275823709,0.031663594479837145
bidir_seed0,one_realised_eta_per_input,18,64,1984,15,0.09027522463085214,0.20152382766792187,0.06001250275823709,0.030262721872615042
bidir_seed0,one_realised_eta_per_input,19,64,1984,15,0.0881363309173711,0.19541579010479315,0.06001250275823709,0.028123828159134
bidir_seed1,raw,-1,0,1984,15,0.3825405402121628,0.5118229548074676,0.06001250275823709,0.3225280374539257
bidir_seed1,one_realised_eta_per_input,0,64,1984,15,0.09128079951398517,0.20254915123252287,0.06001250275823709,0.031268296755748076
bidir_seed1,one_realised_eta_per_input,1,64,1984,15,0.09329424722416066,0.20006580984124764,0.06001250275823709,0.033281744465923566
bidir_seed1,one_realised_eta_per_input,2,64,1984,15,0.09168552090906697,0.20310032915201517,0.06001250275823709,0.031673018150829874
bidir_seed1,one_realised_eta_per_input,3,64,1984,15,0.09126356159791399,0.19626030197059172,0.06001250275823709,0.031251058839676896
bidir_seed1,one_realised_eta_per_input,4,64,1984,15,0.09235318162461573,0.19801368611134318,0.06001250275823709,0.03234067886637863
bidir_seed1,one_realised_eta_per_input,5,64,1984,15,0.09409453013663847,0.2011945462727286,0.06001250275823709,0.03408202737840138
bidir_seed1,one_realised_eta_per_input,6,64,1984,15,0.09182212003146963,0.20000827227259002,0.06001250275823709,0.03180961727323253
bidir_seed1,one_realised_eta_per_input,7,64,1984,15,0.09330549575183822,0.19623929843511972,0.06001250275823709,0.033292992993601125
bidir_seed1,one_realised_eta_per_input,8,64,1984,15,0.0915578047721763,0.1983753588122418,0.06001250275823709,0.03154530201393921
bidir_seed1,one_realised_eta_per_input,9,64,1984,15,0.09230473538643283,0.19846539511081257,0.06001250275823709,0.032292232628195736
bidir_seed1,one_realised_eta_per_input,10,64,1984,15,0.09036738820474821,0.1946744238307404,0.06001250275823709,0.030354885446511118
bidir_seed1,one_realised_eta_per_input,11,64,1984,15,0.09409866767064282,0.20645694031471604,0.06001250275823709,0.03408616491240572
bidir_seed1,one_realised_eta_per_input,12,64,1984,15,0.09478776930015906,0.20080150974905064,0.06001250275823709,0.034775266541921965
bidir_seed1,one_realised_eta_per_input,13,64,1984,15,0.09048383671626686,0.19445456821426763,0.06001250275823709,0.03047133395802977
bidir_seed1,one_realised_eta_per_input,14,64,1984,15,0.09093021983389611,0.19680970300909154,0.06001250275823709,0.030917717075659018
bidir_seed1,one_realised_eta_per_input,15,64,1984,15,0.09460630847801643,0.20212613271786775,0.06001250275823709,0.03459380571977934
bidir_seed1,one_realised_eta_per_input,16,64,1984,15,0.09101841011668726,0.19444920159419296,0.06001250275823709,0.03100590735845017
bidir_seed1,one_realised_eta_per_input,17,64,1984,15,0.09437511279869204,0.20582390170783954,0.06001250275823709,0.03436261004045495
bidir_seed1,one_realised_eta_per_input,18,64,1984,15,0.09291793721554044,0.2043839983252544,0.06001250275823709,0.032905434457303345
bidir_seed1,one_realised_eta_per_input,19,64,1984,15,0.09060378010766638,0.19816636227918158,0.06001250275823709,0.03059127734942929
bidir_seed2,raw,-1,0,1984,15,0.37848662117682236,0.5077690357721272,0.06001250275823709,0.31847411841858525
bidir_seed2,one_realised_eta_per_input,0,64,1984,15,0.08898390328942567,0.2004164536394372,0.06001250275823709,0.028971400531188574
bidir_seed2,one_realised_eta_per_input,1,64,1984,15,0.0905750978351149,0.19741569999450195,0.06001250275823709,0.030562595076877808
bidir_seed2,one_realised_eta_per_input,2,64,1984,15,0.0890746784225752,0.20039657970537778,0.06001250275823709,0.029062175664338108
bidir_seed2,one_realised_eta_per_input,3,64,1984,15,0.08868238525465372,0.1936924155341008,0.06001250275823709,0.028669882496416624
bidir_seed2,one_realised_eta_per_input,4,64,1984,15,0.0896831371849626,0.1953795159220534,0.06001250275823709,0.029670634426725503
bidir_seed2,one_realised_eta_per_input,5,64,1984,15,0.09115088574888047,0.19820687106652937,0.06001250275823709,0.03113838299064338
bidir_seed2,one_realised_eta_per_input,6,64,1984,15,0.08903008181886496,0.1971009614798218,0.06001250275823709,0.029017579060627866
bidir_seed2,one_realised_eta_per_input,7,64,1984,15,0.09055005156085207,0.1935031440759191,0.06001250275823709,0.030537548802614972
bidir_seed2,one_realised_eta_per_input,8,64,1984,15,0.08903543489303224,0.19596186036829616,0.06001250275823709,0.02902293213479515
bidir_seed2,one_realised_eta_per_input,9,64,1984,15,0.08948627577844089,0.19556430224036597,0.06001250275823709,0.029473773020203792
bidir_seed2,one_realised_eta_per_input,10,64,1984,15,0.08779313640374774,0.19199355481146763,0.06001250275823709,0.027780633645510644
bidir_seed2,one_realised_eta_per_input,11,64,1984,15,0.09135195879514,0.20374807197905695,0.06001250275823709,0.03133945603690291
bidir_seed2,one_realised_eta_per_input,12,64,1984,15,0.09206385041404923,0.19818148888248643,0.06001250275823709,0.032051347655812135
bidir_seed2,one_realised_eta_per_input,13,64,1984,15,0.08784128447716257,0.1916473646420409,0.06001250275823709,0.02782878171892547
bidir_seed2,one_realised_eta_per_input,14,64,1984,15,0.08844407447356419,0.1944064443228047,0.06001250275823709,0.028431571715327092
bidir_seed2,one_realised_eta_per_input,15,64,1984,15,0.09175955798092403,0.19932295348520773,0.06001250275823709,0.031747055222686935
bidir_seed2,one_realised_eta_per_input,16,64,1984,15,0.08839684507733667,0.1917763546779696,0.06001250275823709,0.028384342319099573
bidir_seed2,one_realised_eta_per_input,17,64,1984,15,0.09174920739460772,0.20335166459679696,0.06001250275823709,0.03173670463637063
bidir_seed2,one_realised_eta_per_input,18,64,1984,15,0.0902621328923456,0.20176660639966706,0.06001250275823709,0.0302496301341085
bidir_seed2,one_realised_eta_per_input,19,64,1984,15,0.08808136134531255,0.1956195796438939,0.06001250275823709,0.02806885858707546
bidir_seed3,raw,-1,0,1984,15,0.3773287882740563,0.5066112028693611,0.06001250275823709,0.3173162855158192
bidir_seed3,one_realised_eta_per_input,0,64,1984,15,0.08952880938562298,0.20205064375034773,0.06001250275823709,0.029516306627385885
bidir_seed3,one_realised_eta_per_input,1,64,1984,15,0.09082743874716262,0.19874993645437394,0.06001250275823709,0.030814935988925526
bidir_seed3,one_realised_eta_per_input,2,64,1984,15,0.08937718947783081,0.20156129948847593,0.06001250275823709,0.02936468671959372
bidir_seed3,one_realised_eta_per_input,3,64,1984,15,0.08908493571388403,0.1953295782533265,0.06001250275823709,0.029072432955646932
bidir_seed3,one_realised_eta_per_input,4,64,1984,15,0.09006620319326337,0.1969788352572316,0.06001250275823709,0.03005370043502628
bidir_seed3,one_realised_eta_per_input,5,64,1984,15,0.09118329280255062,0.19916170673497002,0.06001250275823709,0.03117079004431353
bidir_seed3,one_realised_eta_per_input,6,64,1984,15,0.08929750033060085,0.19838341509375593,0.06001250275823709,0.02928499757236376
bidir_seed3,one_realised_eta_per_input,7,64,1984,15,0.09075922836132683,0.19481118584681328,0.06001250275823709,0.030746725603089733
bidir_seed3,one_realised_eta_per_input,8,64,1984,15,0.08948957441488081,0.19764703159397443,0.06001250275823709,0.02947707165664372
bidir_seed3,one_realised_eta_per_input,9,64,1984,15,0.08972878738723424,0.19689828695150502,0.06001250275823709,0.02971628462899714
bidir_seed3,one_realised_eta_per_input,10,64,1984,15,0.08806154445056963,0.19333982015826526,0.06001250275823709,0.028049041692332535
bidir_seed3,one_realised_eta_per_input,11,64,1984,15,0.09174010138917509,0.20507080405573003,0.06001250275823709,0.03172759863093799
bidir_seed3,one_realised_eta_per_input,12,64,1984,15,0.0923214775830074,0.19955888134355712,0.06001250275823709,0.03230897482477031
bidir_seed3,one_realised_eta_per_input,13,64,1984,15,0.08820542068811714,0.1932152644211333,0.06001250275823709,0.028192917929880046
bidir_seed3,one_realised_eta_per_input,14,64,1984,15,0.08881100344526376,0.19596202665893875,0.06001250275823709,0.028798500687026662
bidir_seed3,one_realised_eta_per_input,15,64,1984,15,0.09194743726392529,0.20052843065308124,0.06001250275823709,0.0319349345056882
bidir_seed3,one_realised_eta_per_input,16,64,1984,15,0.08864500225591912,0.19310937927431693,0.06001250275823709,0.028632499497682026
bidir_seed3,one_realised_eta_per_input,17,64,1984,15,0.09211049773480755,0.20467443282532,0.06001250275823709,0.032097994976570454
bidir_seed3,one_realised_eta_per_input,18,64,1984,15,0.09050411562783967,0.20286804142911857,0.06001250275823709,0.030491612869602572
bidir_seed3,one_realised_eta_per_input,19,64,1984,15,0.08857960481735525,0.19737659425072793,0.06001250275823709,0.028567102059118152
bidir_seed4,raw,-1,0,1984,15,0.379422373361944,0.5087047879572488,0.06001250275823709,0.3194098706037069
bidir_seed4,one_realised_eta_per_input,0,64,1984,15,0.08849699553286097,0.19933642646400573,0.06001250275823709,0.02848449277462388
bidir_seed4,one_realised_eta_per_input,1,64,1984,15,0.09007765577587637,0.19640466738161225,0.06001250275823709,0.030065153017639276
bidir_seed4,one_realised_eta_per_input,2,64,1984,15,0.0886252789035825,0.19941579960439762,0.06001250275823709,0.02861277614534541
bidir_seed4,one_realised_eta_per_input,3,64,1984,15,0.08817904543853095,0.19255340467640136,0.06001250275823709,0.028166542680293852
bidir_seed4,one_realised_eta_per_input,4,64,1984,15,0.08913667969859038,0.19423729126527725,0.06001250275823709,0.029124176940353283
bidir_seed4,one_realised_eta_per_input,5,64,1984,15,0.09060441981451618,0.1971192175527189,0.06001250275823709,0.03059191705627909
bidir_seed4,one_realised_eta_per_input,6,64,1984,15,0.08841372758240712,0.19581367073687173,0.06001250275823709,0.028401224824170027
bidir_seed4,one_realised_eta_per_input,7,64,1984,15,0.090011527667921,0.19237804114020038,0.06001250275823709,0.02999902490968391
bidir_seed4,one_realised_eta_per_input,8,64,1984,15,0.08849676586327788,0.19481836302774005,0.06001250275823709,0.02848426310504079
bidir_seed4,one_realised_eta_per_input,9,64,1984,15,0.08897285946535044,0.19448302699525025,0.06001250275823709,0.028960356707113347
bidir_seed4,one_realised_eta_per_input,10,64,1984,15,0.08726216499384434,0.19062961432265138,0.06001250275823709,0.02724966223560725
bidir_seed4,one_realised_eta_per_input,11,64,1984,15,0.09103297914953512,0.20308976955839458,0.06001250275823709,0.031020476391298027
bidir_seed4,one_realised_eta_per_input,12,64,1984,15,0.09151924501539745,0.19710758178165688,0.06001250275823709,0.03150674225716035
bidir_seed4,one_realised_eta_per_input,13,64,1984,15,0.0875157857749858,0.19078383496076454,0.06001250275823709,0.027503283016748703
bidir_seed4,one_realised_eta_per_input,14,64,1984,15,0.08794890963647699,0.19328562744004155,0.06001250275823709,0.027936406878239894
bidir_seed4,one_realised_eta_per_input,15,64,1984,15,0.0911945011466376,0.19823114131786035,0.06001250275823709,0.03118199838840051
bidir_seed4,one_realised_eta_per_input,16,64,1984,15,0.08798535858045732,0.19076605438763933,0.06001250275823709,0.027972855822220227
bidir_seed4,one_realised_eta_per_input,17,64,1984,15,0.09124366039976826,0.20238895065891208,0.06001250275823709,0.03123115764153117
bidir_seed4,one_realised_eta_per_input,18,64,1984,15,0.08978901466046679,0.200824295745788,0.06001250275823709,0.0297765119022297
bidir_seed4,one_realised_eta_per_input,19,64,1984,15,0.08753095682752905,0.1943508780888789,0.06001250275823709,0.02751845406929196
