model,n_calib,n_test,split_seed,ridge,mae_F_e,rmse_F_e,bias_F_e,pearson
product_raw,64,4032,20260806,,0.4317268943931494,0.46176006719142115,0.4317268943931494,0.7219992716445982
exact_observed_marginals,64,4032,20260806,,0.43975667710122324,0.47023069170584214,0.43975667710122324,0.7378089223588837
constant_cal_median,64,4032,20260806,,0.16186699093068166,0.20079418507171523,-0.03304297397918408,
product_affine,64,4032,20260806,,0.11330666262984679,0.13843104164902614,0.008642462124583743,0.7219992716445983
exact_marginals_affine,64,4032,20260806,,0.11013336908409539,0.13503190492487138,0.008519630542162662,0.7378089223588842
summary_ridge,64,4032,20260806,1.0,0.09769151327861954,0.11983189065095251,-0.002485776957797858,0.8002379944025372
oracle_eta_ridge,64,4032,20260806,1.0,0.07995320735695882,0.0981239081018935,0.00389483894399265,0.8688738484535939
bidir_seed0_raw,64,4032,20260806,,0.37861348816474516,0.40927961758604453,0.37861348816474516,0.8161332729456376
bidir_seed0_affine,64,4032,20260806,,0.08901567348549776,0.1166481543547977,0.01846162564269483,0.8161332729456378
bidir_seed1_raw,64,4032,20260806,,0.3820367101949477,0.41288054717124534,0.3820367101949477,0.8063439617605002
bidir_seed1_affine,64,4032,20260806,,0.09152094860546377,0.1196573242376137,0.020654055763288597,0.8063439617604998
bidir_seed2_raw,64,4032,20260806,,0.3779618005150013,0.4087121100896741,0.3779618005150013,0.8170118334643705
bidir_seed2_affine,64,4032,20260806,,0.08860800414968968,0.11635029177196006,0.018629886885497025,0.8170118334643706
bidir_seed3_raw,64,4032,20260806,,0.3767530711973825,0.4073631836700489,0.3767530711973825,0.8153198809872291
bidir_seed3_affine,64,4032,20260806,,0.08936944771914437,0.11684975007036921,0.017903013193700117,0.8153198809872293
bidir_seed4_raw,64,4032,20260806,,0.37891664506039685,0.40977347273063264,0.37891664506039685,0.8179940679468163
bidir_seed4_affine,64,4032,20260806,,0.08865658698570027,0.11616123805236911,0.018454154655091044,0.8179940679468163
