method,prior,checkpoint,calibration,repeat,n_calib,n_test,per_query_shots,offline_quantum_shots,fusion_weight,mean_oracle_dfe_sigma,mae_F_e,rmse_F_e,bias_F_e,pearson
stratified_dfe,none,none,none,0,0,4032,4,0,1.0,0.3207695375009817,0.2723357099078832,0.3179678795625798,-0.0004249825733639891,0.5295795526170309
stratified_dfe,none,none,none,0,0,4032,8,0,1.0,0.2268183151650167,0.18497322970587346,0.2267099188929601,-0.00048698654161795737,0.6631161886259259
stratified_dfe,none,none,none,0,0,4032,16,0,1.0,0.16038476875049085,0.12814032339623996,0.1605537337737059,-0.0007040004305068463,0.7710476176492504
stratified_dfe,none,none,none,0,0,4032,32,0,1.0,0.11340915758250834,0.0888871550781741,0.11140670322002842,0.0008926017520328363,0.8734990073820218
stratified_dfe,none,none,none,0,0,4032,48,0,1.0,0.09259818941201176,0.0762730107110526,0.0960288599117368,0.0003914030086465893,0.9002419947944309
stratified_dfe,none,none,none,0,0,4032,64,0,1.0,0.08019238437524542,0.0633343900165831,0.07979765702475702,-0.000649746958284624,0.9269461926548374
stratified_dfe,none,none,none,0,0,4032,96,0,1.0,0.06547680765882988,0.05306568715065994,0.06666735710950705,-0.00013046372415763958,0.9475965086982666
stratified_dfe,none,none,none,0,0,4032,128,0,1.0,0.05670457879125417,0.044916562031998876,0.05655580379423502,3.229669250902676e-05,0.9618479319619243
marginal_only_prior,exact_marginal_affine,none,exact_labels,0,64,4032,0,0,0.0,,0.11013336908409539,0.13503190492487138,0.008519630542162662,0.7378089223588842
measurement_conditioned_hybrid,exact_marginal_affine,none,exact_labels,0,64,4032,4,256,0.11732416523740012,,0.10081992614192799,0.12423907038267638,0.007470211275012009,0.7854735542292682
measurement_conditioned_hybrid,exact_marginal_affine,none,exact_labels,0,64,4032,8,512,0.2501115959079305,,0.09282817287205324,0.11501135659656243,0.006266971169606635,0.8173761285203996
measurement_conditioned_hybrid,exact_marginal_affine,none,exact_labels,0,64,4032,16,1024,0.3797883368829745,,0.08428610511111416,0.10418313446598661,0.005016603075030244,0.8534944040667092
measurement_conditioned_hybrid,exact_marginal_affine,none,exact_labels,0,64,4032,32,2048,0.49201603513539477,,0.07100880033415993,0.08812859653530379,0.004767010076979453,0.8989901640984737
measurement_conditioned_hybrid,exact_marginal_affine,none,exact_labels,0,64,4032,48,3072,0.6837135795749225,,0.0622905057792045,0.07825661090945568,0.0029622509996229513,0.9187779806582136
measurement_conditioned_hybrid,exact_marginal_affine,none,exact_labels,0,64,4032,64,4096,0.7330740856422762,,0.05557235419057228,0.06961800869043343,0.0017977975151134092,0.9364467274618851
measurement_conditioned_hybrid,exact_marginal_affine,none,exact_labels,0,64,4032,96,6144,0.7828704863820732,,0.04841919149592338,0.06028929673792966,0.0017477270366377034,0.9528595207980398
measurement_conditioned_hybrid,exact_marginal_affine,none,exact_labels,0,64,4032,128,8192,0.8162524503793372,,0.04209267677895905,0.052712113304542715,0.0015918234901953895,0.964234971228968
marginal_only_prior,summary_ridge,none,exact_labels,0,64,4032,0,0,0.0,,0.09769151327861954,0.11983189065095251,-0.002485776957797858,0.8002379944025372
measurement_conditioned_hybrid,summary_ridge,none,exact_labels,0,64,4032,4,256,0.10222673813267633,,0.09103335305827552,0.1120247139447314,-0.0022751086699150584,0.8286085972152211
measurement_conditioned_hybrid,summary_ridge,none,exact_labels,0,64,4032,8,512,0.21348026679236218,,0.08457672361135694,0.10475090544325756,-0.002059074646489773,0.8511405525459644
measurement_conditioned_hybrid,summary_ridge,none,exact_labels,0,64,4032,16,1024,0.3313045308569747,,0.0781690724149582,0.09670883602979838,-0.0018954663213317144,0.8749707886812974
measurement_conditioned_hybrid,summary_ridge,none,exact_labels,0,64,4032,32,2048,0.438551500123804,,0.06745631620677309,0.08360737306453435,-0.0010041839066153165,0.9089215262251326
measurement_conditioned_hybrid,summary_ridge,none,exact_labels,0,64,4032,48,3072,0.6316606743292302,,0.05992634675125821,0.07514098998482241,-0.000668375520027005,0.9253116889792987
