method,prior,calibration,per_query_shots,mae_mean,mae_std,rmse_mean,weight_mean,weight_std,offline_shots,runs
marginal_only_prior,bidir_affine,exact_labels,0,0.08943413218909918,0.0011012453749154765,0.11713335169742196,0.0,0.0,0,25
marginal_only_prior,bidir_affine,finite_64shot_labels,0,0.08854819408941478,0.004097552177154516,0.11786927018168751,0.0,0.0,4096,25
marginal_only_prior,exact_marginal_affine,exact_labels,0,0.11013336908409539,0.0,0.13503190492487138,0.0,0.0,0,5
marginal_only_prior,exact_marginal_affine,finite_64shot_labels,0,0.10956025940418761,0.002417734388129212,0.13532188037756315,0.0,0.0,4096,5
marginal_only_prior,summary_ridge,exact_labels,0,0.09769151327861954,0.0,0.11983189065095252,0.0,0.0,0,5
marginal_only_prior,summary_ridge,finite_64shot_labels,0,0.09956452924898349,0.004082830844533225,0.12247111576896194,0.0,0.0,4096,5
measurement_conditioned_hybrid,bidir_affine,exact_labels,4,0.08513309816980447,0.001149670071262188,0.11089745469388275,0.08375845846409158,0.024344422432386367,256,25
measurement_conditioned_hybrid,bidir_affine,exact_labels,8,0.08108966805452596,0.0009455807874282606,0.10491163161496621,0.19111102145715936,0.047032978146581195,512,25
measurement_conditioned_hybrid,bidir_affine,exact_labels,16,0.0747525416346857,0.000858372206342541,0.09603327460897162,0.2844527661849618,0.028324964303936277,1024,25
measurement_conditioned_hybrid,bidir_affine,exact_labels,32,0.06538519986573156,0.0005558517172714471,0.08324304854173184,0.4349930119103925,0.046594422414933424,2048,25
measurement_conditioned_hybrid,bidir_affine,exact_labels,48,0.05829917985958942,0.0006367718186684662,0.07355297521870563,0.5523663533580401,0.046602308455936395,3072,25
measurement_conditioned_hybrid,bidir_affine,exact_labels,64,0.053401569679308286,0.0002992287229718956,0.06720095113038202,0.6387965447184373,0.028128614152721478,4096,25
measurement_conditioned_hybrid,bidir_affine,exact_labels,96,0.046314933403099695,0.0008080406932482748,0.05805573788042353,0.7324130906763664,0.03795526361996105,6144,25
measurement_conditioned_hybrid,bidir_affine,exact_labels,128,0.04138759821726293,0.0005776433680701569,0.05204176529192117,0.776843177271679,0.042175096993508396,8192,25
measurement_conditioned_hybrid,bidir_affine,finite_64shot_labels,4,0.08493577915311232,0.004329239052320199,0.11208429192012712,0.07108213808182469,0.023670443029744956,4352,25
measurement_conditioned_hybrid,bidir_affine,finite_64shot_labels,8,0.08098545152998224,0.0025183450214718234,0.1049998614554838,0.19519990279135235,0.032405100402268384,4608,25
measurement_conditioned_hybrid,bidir_affine,finite_64shot_labels,16,0.07579975878966907,0.003901844346354324,0.09706950646199801,0.29575313711309487,0.06838086746813224,5120,25
measurement_conditioned_hybrid,bidir_affine,finite_64shot_labels,32,0.06574500173271752,0.0018576897130328626,0.0837863355270815,0.43911185219902577,0.053759975273083446,6144,25
measurement_conditioned_hybrid,bidir_affine,finite_64shot_labels,48,0.05898114800792506,0.0013802470588027123,0.07471435127275054,0.538393981906127,0.07471446378057356,7168,25
measurement_conditioned_hybrid,bidir_affine,finite_64shot_labels,64,0.05386144995650171,0.001232953941247951,0.06777969518088801,0.6580057858024362,0.06935559259552668,8192,25
measurement_conditioned_hybrid,bidir_affine,finite_64shot_labels,96,0.047264514042407724,0.0010682185781416124,0.059420362715626396,0.6938650957729274,0.074147316316284,10240,25
measurement_conditioned_hybrid,bidir_affine,finite_64shot_labels,128,0.04238576761103921,0.0015553744670402658,0.05329312957196369,0.7833033508921694,0.09536443885462631,12288,25
measurement_conditioned_hybrid,exact_marginal_affine,exact_labels,4,0.10197410594824183,0.0016408658496167398,0.12557002476725707,0.11873119982785807,0.043667519890999436,256,5
measurement_conditioned_hybrid,exact_marginal_affine,exact_labels,8,0.09428532605950855,0.0009737330810938622,0.1168085641393021,0.2690628800679371,0.06018316410811904,512,5
measurement_conditioned_hybrid,exact_marginal_affine,exact_labels,16,0.08391290473945193,0.0006534766648786527,0.10410572984325799,0.38710752909529444,0.029116561265607858,1024,5
measurement_conditioned_hybrid,exact_marginal_affine,exact_labels,32,0.07074115141378091,0.00045057331805751783,0.08797392986891964,0.5496346756195555,0.05497513847962982,2048,5
measurement_conditioned_hybrid,exact_marginal_affine,exact_labels,48,0.06168213489006598,0.000564413184662987,0.07689102913643645,0.6515008123710422,0.04159325902256132,3072,5
measurement_conditioned_hybrid,exact_marginal_affine,exact_labels,64,0.05586130972580492,0.0003738043849839152,0.06989740876127701,0.7310128772651348,0.02856858391601157,4096,5
measurement_conditioned_hybrid,exact_marginal_affine,exact_labels,96,0.04777078063530287,0.0005983490622031556,0.0596751714617312,0.8100806180671366,0.02919428978593664,6144,5
measurement_conditioned_hybrid,exact_marginal_affine,exact_labels,128,0.04228672905311816,0.0003451428592250432,0.05310479637635686,0.8451693584904767,0.040525830913853776,8192,5
measurement_conditioned_hybrid,exact_marginal_affine,finite_64shot_labels,4,0.10207033923191314,0.0034544740245862487,0.1263016339113075,0.10725644433292388,0.04672349112303412,4352,5
measurement_conditioned_hybrid,exact_marginal_affine,finite_64shot_labels,8,0.09352528137433705,0.0019956942922048147,0.1162857769344315,0.27830516553465334,0.028418957055321315,4608,5
measurement_conditioned_hybrid,exact_marginal_affine,finite_64shot_labels,16,0.08468360868505516,0.0033437758663515393,0.10515361157974508,0.400254884876976,0.08070548979502157,5120,5
measurement_conditioned_hybrid,exact_marginal_affine,finite_64shot_labels,32,0.07103952546668119,0.0017343592493266164,0.08847967382091296,0.5648524709882551,0.07645203127359385,6144,5
measurement_conditioned_hybrid,exact_marginal_affine,finite_64shot_labels,48,0.062263529539300054,0.0011872428250585133,0.07761452972164112,0.6474510790858583,0.07370334333915482,7168,5
measurement_conditioned_hybrid,exact_marginal_affine,finite_64shot_labels,64,0.05684131366391115,0.0015216379045420378,0.07124810711714176,0.7592348728039892,0.09921903459433967,8192,5
measurement_conditioned_hybrid,exact_marginal_affine,finite_64shot_labels,96,0.04898003863510449,0.0014973610093531955,0.061141790915846796,0.7970415563050525,0.09711244651854871,10240,5
measurement_conditioned_hybrid,exact_marginal_affine,finite_64shot_labels,128,0.04372622651350691,0.0022163956075687166,0.05477177934056162,0.85921815644232,0.10673402617100944,12288,5
measurement_conditioned_hybrid,summary_ridge,exact_labels,4,0.09228135338211166,0.001797274568947123,0.11364236395863989,0.09293104700427449,0.05002932363265237,256,5
measurement_conditioned_hybrid,summary_ridge,exact_labels,8,0.08610462613381561,0.000885028616699631,0.10659951200037876,0.2289316384194482,0.05739143768755516,512,5
measurement_conditioned_hybrid,summary_ridge,exact_labels,16,0.07817432352081413,0.0006221390819080902,0.09679365287457854,0.3322574310486074,0.0386906009471914,1024,5
