model,n_calib,shots_per_label,total_calibration_shots,repeat,mae_noisy_calibration,mae_exact_calibration,calibration_noise_penalty
bidir_seed0,16,16,256,0,0.10858876335026273,0.09299630234517299,0.015592461005089736
bidir_seed1,16,16,256,0,0.10925756569431443,0.0950429130130158,0.014214652681298623
bidir_seed2,16,16,256,0,0.10757583954598522,0.09255976679808248,0.015016072747902745
bidir_seed3,16,16,256,0,0.1069486569583165,0.09357931645298719,0.013369340505329314
bidir_seed4,16,16,256,0,0.10711496798531174,0.09212245739356438,0.01499251059174736
bidir_seed0,32,16,512,0,0.10337427114637862,0.08852378859881133,0.014850482547567295
bidir_seed1,32,16,512,0,0.10576247585953868,0.09139386858769387,0.014368607271844816
bidir_seed2,32,16,512,0,0.10258384163147133,0.08815827118460912,0.014425570446862213
bidir_seed3,32,16,512,0,0.10198341114927788,0.08811942765793149,0.01386398349134639
bidir_seed4,32,16,512,0,0.10243273407093019,0.08773175903834711,0.01470097503258308
bidir_seed0,64,16,1024,0,0.09364297249160264,0.08606220456904624,0.0075807679225563945
bidir_seed1,64,16,1024,0,0.09631768930268605,0.08889471167863064,0.007422977624055416
bidir_seed2,64,16,1024,0,0.09345175772083622,0.08601845437757337,0.007433303343262851
bidir_seed3,64,16,1024,0,0.09393853907979062,0.0865502101432856,0.007388328936505026
bidir_seed4,64,16,1024,0,0.0929324646457842,0.08536095832382512,0.007571506321959076
bidir_seed0,128,16,2048,0,0.08884029274101682,0.08804321046293469,0.0007970822780821313
bidir_seed1,128,16,2048,0,0.09162190375958539,0.09074105885602228,0.000880844903563105
bidir_seed2,128,16,2048,0,0.08872093882721246,0.08796645626239247,0.0007544825648199971
bidir_seed3,128,16,2048,0,0.08855890061033267,0.08834326005394762,0.0002156405563850522
bidir_seed4,128,16,2048,0,0.08789120161636584,0.08711874052689295,0.0007724610894728895
bidir_seed0,16,16,256,1,0.1480655600985645,0.09299630234517299,0.05506925775339151
bidir_seed1,16,16,256,1,0.15031973308530677,0.0950429130130158,0.05527682007229097
bidir_seed2,16,16,256,1,0.14760355361107175,0.09255976679808248,0.05504378681298927
