method,checkpoint,repeat,per_query_shots,readout_error,mitigation,offline_quantum_shots,fusion_weight,mean_oracle_sigma,mae_F_e,rmse_F_e,bias_F_e,pearson
stratified_dfe,none,0,32,0.0,none,0,1.0,0.11340915758250834,0.09116069857393289,0.11374205147330768,-0.003618186938443354,0.8686581091771832
stratified_dfe,none,0,32,0.0,calibrated_symmetric,0,1.0,0.11340915758250834,0.09116069857393289,0.11374205147330768,-0.003618186938443354,0.8686581091771832
measurement_conditioned_hybrid,bidir_seed0,0,32,0.0,none,6144,0.37095696601307243,,0.06539404902037911,0.08423810503524648,0.013851477888736264,0.9079810469095514
measurement_conditioned_hybrid,bidir_seed0,0,32,0.0,calibrated_symmetric,6144,0.37095696601307243,,0.06539404902037911,0.08423810503524648,0.013851477888736264,0.9079810469095514
measurement_conditioned_hybrid,bidir_seed1,0,32,0.0,none,6144,0.3796192465961444,,0.06637471347009594,0.08554951186308128,0.015149009925765034,0.9054590464676807
measurement_conditioned_hybrid,bidir_seed1,0,32,0.0,calibrated_symmetric,6144,0.3796192465961444,,0.06637471347009594,0.08554951186308128,0.015149009925765034,0.9054590464676807
measurement_conditioned_hybrid,bidir_seed2,0,32,0.0,none,6144,0.3686671884387631,,0.06534916165826096,0.08427234866393284,0.014023328420926047,0.9079209306535992
measurement_conditioned_hybrid,bidir_seed2,0,32,0.0,calibrated_symmetric,6144,0.3686671884387631,,0.06534916165826096,0.08427234866393284,0.014023328420926047,0.9079209306535992
measurement_conditioned_hybrid,bidir_seed3,0,32,0.0,none,6144,0.38410258389856305,,0.06533419417812142,0.08368424617739464,0.013094916532738025,0.9090146944465243
measurement_conditioned_hybrid,bidir_seed3,0,32,0.0,calibrated_symmetric,6144,0.38410258389856305,,0.06533419417812142,0.08368424617739464,0.013094916532738025,0.9090146944465243
measurement_conditioned_hybrid,bidir_seed4,0,32,0.0,none,6144,0.37002689757306784,,0.06520554861076501,0.0840145037165488,0.013867064747813813,0.9085205469640328
measurement_conditioned_hybrid,bidir_seed4,0,32,0.0,calibrated_symmetric,6144,0.37002689757306784,,0.06520554861076501,0.0840145037165488,0.013867064747813813,0.9085205469640328
stratified_dfe,none,0,32,0.01,none,0,1.0,0.11663906062234776,0.09457985245223556,0.11811149930109298,-0.014422378406697323,0.8581475537510332
stratified_dfe,none,0,32,0.01,calibrated_symmetric,0,1.0,0.11901944961464057,0.09583497482335666,0.11963218577200227,-0.005657990955288177,0.8582292555034006
measurement_conditioned_hybrid,bidir_seed0,0,32,0.01,none,6144,0.4050230633218127,,0.06548646888047828,0.08407460474187657,0.008498062619915606,0.9065459306534388
measurement_conditioned_hybrid,bidir_seed0,0,32,0.01,calibrated_symmetric,6144,0.4010968546107573,,0.06562131027941508,0.08447078456113855,0.012190950396962568,0.9066003873394498
