split,model,seed_index,nominal_level,empirical_coverage
ID,FidelityNO (5M),0,0.1,0.099
ID,FidelityNO (5M),0,0.2,0.1998
ID,FidelityNO (5M),0,0.3,0.296
ID,FidelityNO (5M),0,0.4,0.391
ID,FidelityNO (5M),0,0.5,0.4838
ID,FidelityNO (5M),0,0.6,0.598
ID,FidelityNO (5M),0,0.7,0.6954
ID,FidelityNO (5M),0,0.8,0.7982
ID,FidelityNO (5M),0,0.9,0.905
ID,FidelityNO (5M),1,0.1,0.093
ID,FidelityNO (5M),1,0.2,0.1916
ID,FidelityNO (5M),1,0.3,0.298
ID,FidelityNO (5M),1,0.4,0.4034
ID,FidelityNO (5M),1,0.5,0.4946
ID,FidelityNO (5M),1,0.6,0.5898
ID,FidelityNO (5M),1,0.7,0.6954
ID,FidelityNO (5M),1,0.8,0.8008
ID,FidelityNO (5M),1,0.9,0.9056
ID,FidelityNO (5M),2,0.1,0.0982
ID,FidelityNO (5M),2,0.2,0.2
ID,FidelityNO (5M),2,0.3,0.3052
ID,FidelityNO (5M),2,0.4,0.4088
ID,FidelityNO (5M),2,0.5,0.514
ID,FidelityNO (5M),2,0.6,0.6128
ID,FidelityNO (5M),2,0.7,0.6962
ID,FidelityNO (5M),2,0.8,0.7936
ID,FidelityNO (5M),2,0.9,0.9996
ID,FidelityNO (5M),3,0.1,0.0922
ID,FidelityNO (5M),3,0.2,0.1812
ID,FidelityNO (5M),3,0.3,0.283
ID,FidelityNO (5M),3,0.4,0.3892
ID,FidelityNO (5M),3,0.5,0.5012
ID,FidelityNO (5M),3,0.6,0.604
ID,FidelityNO (5M),3,0.7,0.7074
ID,FidelityNO (5M),3,0.8,0.8076
ID,FidelityNO (5M),3,0.9,0.8976
ID,FidelityNO (5M),4,0.1,0.1046
ID,FidelityNO (5M),4,0.2,0.2072
ID,FidelityNO (5M),4,0.3,0.3082
ID,FidelityNO (5M),4,0.4,0.4122
ID,FidelityNO (5M),4,0.5,0.5156
ID,FidelityNO (5M),4,0.6,0.608
ID,FidelityNO (5M),4,0.7,0.7068
ID,FidelityNO (5M),4,0.8,0.8086
ID,FidelityNO (5M),4,0.9,0.899
Length OOD,FidelityNO (5M),0,0.1,1.0
Length OOD,FidelityNO (5M),0,0.2,1.0
Length OOD,FidelityNO (5M),0,0.3,1.0
Length OOD,FidelityNO (5M),0,0.4,1.0
Length OOD,FidelityNO (5M),0,0.5,1.0
Length OOD,FidelityNO (5M),0,0.6,1.0
Length OOD,FidelityNO (5M),0,0.7,1.0
Length OOD,FidelityNO (5M),0,0.8,1.0
Length OOD,FidelityNO (5M),0,0.9,1.0
Length OOD,FidelityNO (5M),1,0.1,1.0
Length OOD,FidelityNO (5M),1,0.2,1.0
Length OOD,FidelityNO (5M),1,0.3,1.0
Length OOD,FidelityNO (5M),1,0.4,1.0
Length OOD,FidelityNO (5M),1,0.5,1.0
Length OOD,FidelityNO (5M),1,0.6,1.0
Length OOD,FidelityNO (5M),1,0.7,1.0
Length OOD,FidelityNO (5M),1,0.8,1.0
Length OOD,FidelityNO (5M),1,0.9,1.0
Length OOD,FidelityNO (5M),2,0.1,1.0
Length OOD,FidelityNO (5M),2,0.2,1.0
Length OOD,FidelityNO (5M),2,0.3,1.0
Length OOD,FidelityNO (5M),2,0.4,1.0
Length OOD,FidelityNO (5M),2,0.5,1.0
Length OOD,FidelityNO (5M),2,0.6,1.0
Length OOD,FidelityNO (5M),2,0.7,1.0
Length OOD,FidelityNO (5M),2,0.8,1.0
Length OOD,FidelityNO (5M),2,0.9,1.0
Length OOD,FidelityNO (5M),3,0.1,1.0
Length OOD,FidelityNO (5M),3,0.2,1.0
Length OOD,FidelityNO (5M),3,0.3,1.0
Length OOD,FidelityNO (5M),3,0.4,1.0
Length OOD,FidelityNO (5M),3,0.5,1.0
Length OOD,FidelityNO (5M),3,0.6,1.0
Length OOD,FidelityNO (5M),3,0.7,1.0
Length OOD,FidelityNO (5M),3,0.8,1.0
Length OOD,FidelityNO (5M),3,0.9,1.0
Length OOD,FidelityNO (5M),4,0.1,1.0
Length OOD,FidelityNO (5M),4,0.2,1.0
Length OOD,FidelityNO (5M),4,0.3,1.0
Length OOD,FidelityNO (5M),4,0.4,1.0
Length OOD,FidelityNO (5M),4,0.5,1.0
